BossName,BossNameKR,Difficulty,DropEquip,BelowFail,BelowSuccess,BelowGreat,AboveFail,AboveSuccess,AboveGreat,RequiredPower,DropReward
Zakum,자쿰,Normal,화이트 세트/무기,50,50,0,5,35,60,1000,item:Tenth_Anniversary_White_Hat;weapon:White
Horntail,혼테일,Normal,보스 장신구 세트(5),50,50,0,5,35,60,1500,item:Condensed_Power_Crystal
Magnus,매그너스,Normal,보스 장신구 세트(5),50,50,0,5,35,60,2000,item:Condensed_Power_Crystal
Root_Abyss,4루타,Normal,루타비스 세트/무기,50,40,10,5,35,60,2500,item:Highness_Warrior_Helm;weapon:Fafnir
Root_Abyss,4루타,Chaos,루타비스 세트/무기/보스 장신구 세트(9),60,35,5,10,40,50,6000,item:Highness_Warrior_Helm;weapon:Fafnir;item:Dominator_Pendant
Von_Leon,반레온,Normal,보스 장신구 세트(5),50,40,10,5,35,60,3000,item:Condensed_Power_Crystal
Von_Leon,반레온,Hard,루타비스 세트/보스 장신구 세트(9),60,35,5,10,40,50,6500,item:Highness_Warrior_Helm;item:Dominator_Pendant
Pink_Bean,핑크빈,Normal,보스 장신구 세트(5),50,40,10,5,35,60,3500,item:Condensed_Power_Crystal
Pink_Bean,핑크빈,Chaos,루타비스 무기/보스 장신구 세트(9),60,35,5,10,40,50,7000,weapon:Fafnir;item:Dominator_Pendant
Papulatus,파풀라투스,Chaos,보스 장신구 세트(9),60,35,5,5,45,50,7500,item:Dominator_Pendant
Lotus,스우,Normal,루타비스 세트/보스 장신구 세트(9),60,35,5,10,50,40,8000,item:Highness_Warrior_Helm;item:Dominator_Pendant
Lotus,스우,Hard,아케인셰이드 세트/무기,80,15,5,20,40,40,12000,item:Arcane_Umbra_Knight_Hat;weapon:Arcane_Umbra
Damien,데미안,Normal,루타비스 무기/보스 장신구 세트(9),60,40,5,10,50,40,8500,weapon:Fafnir;item:Dominator_Pendant
Damien,데미안,Hard,아케인셰이드 세트/무기,80,15,5,20,40,40,12500,item:Arcane_Umbra_Knight_Hat;weapon:Arcane_Umbra
Lucid,루시드,Easy,칠흑의 보스 세트(5),60,40,0,30,65,5,9000,item:Magic_Eyepatch
Lucid,루시드,Normal,아케인셰이드 세트/칠흑의 보스 세트(5),70,20,5,10,50,40,10000,item:Arcane_Umbra_Knight_Hat;item:Magic_Eyepatch
Lucid,루시드,Hard,아케인셰이드 세트/칠흑의 보스 세트(7),80,15,5,20,40,40,13000,item:Arcane_Umbra_Knight_Hat;item:Dreamy_Belt
Guardian_Angel_Slime,가디언 엔젤 슬라임,Normal,아케인셰이드 세트/무기,70,25,5,10,50,40,14000,item:Arcane_Umbra_Knight_Hat;weapon:Arcane_Umbra
Guardian_Angel_Slime,가디언 엔젤 슬라임,Chaos,칠흑의 보스 세트(7),80,15,5,20,40,40,18000,item:Dreamy_Belt
Will,윌,Easy,아케인셰이드 세트/무기,60,40,0,30,65,5,15000,item:Arcane_Umbra_Knight_Hat;weapon:Arcane_Umbra
Will,윌,Normal,아케인셰이드 무기/칠흑의 보스 세트(5),70,20,5,10,50,40,16000,weapon:Arcane_Umbra;item:Magic_Eyepatch
Will,윌,Hard,아케인셰이드 무기/칠흑의 보스 세트(7),80,15,5,10,40,50,19000,weapon:Arcane_Umbra;item:Dreamy_Belt
Dusk,더스크,Normal,아케인셰이드 세트/칠흑의 보스 세트(5),70,20,5,5,45,50,20000,item:Arcane_Umbra_Knight_Hat;item:Magic_Eyepatch
Dusk,더스크,Hard,칠흑의 보스 세트(7),80,20,0,10,40,50,23000,item:Dreamy_Belt
Jin_Hilla,진 힐라,Normal,아케인셰이드 무기/칠흑의 보스 세트(7),70,20,5,5,45,50,24000,weapon:Arcane_Umbra;item:Dreamy_Belt
Jin_Hilla,진 힐라,Hard,칠흑의 보스 세트(7),80,20,0,10,40,50,27000,item:Dreamy_Belt
Dunkel,듄켈,Normal,아케인셰이드 세트/칠흑의 보스 세트(7),70,20,5,5,45,50,28000,item:Arcane_Umbra_Knight_Hat;item:Dreamy_Belt
Dunkel,듄켈,Hard,칠흑의 보스 세트(7),80,20,0,10,40,50,31000,item:Dreamy_Belt
Black_Mage,검은 마법사,Hard,,100,0,0,0,100,0,40000,
