EventId,Seq,PlayerAnim,NodeType,Next,BranchGroup,Reward,Text
HEN_SUGAR_01,1,idle,text,2,,,"""메이플월드에 와서 사귄 첫 친구 슈가가 나에게 인사를 걸어왔다!\n나는 마주보며 인사를 건넸다."""
HEN_SUGAR_01,2,idle,choice,,SUGAR01_OFFER,,"""슈가는 나에게 같이 훈련을 하자고 제안했다.\n슈가의 제안을 수락할까?"""
HEN_SUGAR_01,3,attack,roll,,SUGAR01_TRAIN,,"""슈가와 본격적인 훈련을 시작했다!"""
HEN_SUGAR_02,1,idle,text,,,all:20,"슈가가 나에게 연극을 보러 가자고 제안했다!\n나는 슈가를 따라 연극을 보러 중앙 광장으로 갔다.\n\n연극의 내용은 옛 영웅들이 검은 마법사를 봉인한다는 내용이었다.\n영웅들의 이야기를 듣고 나니, 나도 그들처럼 강해지고 싶다는 의지가 솟아났다.\n올스탯이 20만큼 올랐다!"
HEN_SUGAR_03,1,idle,text,2,,,"""슈가가 나에게 다른 친구들을 소개시켜준다고 한다!\n슈가를 따라 단풍나무 아래로 향했다."""
HEN_SUGAR_03,2,idle,choice,,SUGAR03_FRIENDS,,"""슈가를 따라가니 그곳에는...\n누구에게 다가가 볼까?"""
HEN_SUGAR_03,31,idle,text,,,str:10,"""슈가에게 테스라는 친구를 소개받았다!\n테스와 이야기하며 해적 직업에 대해 더 잘 알 수 있었다.\n\n나중에 테스와 같은 해적이 될 수 있을지도?\nSTR이 10만큼 올랐다."""
HEN_SUGAR_03,32,idle,text,,,dex:10,"""슈가에게 올리비아라는 친구를 소개받았다!\n올리비아와 이야기하며 궁수 직업에 대해 더 잘 알 수 있었다.\n\n나중에 올리비아와 같은 궁수가 될 수 있을지도?\nDEX가 10만큼 올랐다."""
HEN_SUGAR_03,33,idle,text,,,luk:10,"""슈가에게 론도라는 친구를 소개받았다!\n론도와 이야기하며 도적 직업에 대해 더 잘 알 수 있었다.\n\n나중에 론도와 같은 도적이 될 수 있을지도?\nLUK이 10만큼 올랐다."""
HEN_SUGAR_03,34,idle,text,,,int:10,"그곳에는 단풍잎만이 떨어져있었다.\n여기저기 둘러보았지만 친구의 흔적은 찾을 수 없었다.\n\n마법같이 사라져버린것을 보아하니, 마법을 배우고 있는 친구였을까?\n마법에 대해 흥미가 생길 것 같다.\nINT가 10만큼 올랐다."
HEN_HELENA_01,1,idle,text,2,,,"""헬레나 교관님이 퀘스트를 내주셨다!\n주황버섯 100마리를 처치하라고 하셨다."""
HEN_HELENA_01,2,idle,choice,,HELENA01_QUEST,,"""헬레나 교관님의 퀘스트를 수락할까?"""
HEN_HELENA_01,3,attack,roll,,HELENA01_TRAIN,,"""주황버섯 100마리 사냥을 시작했다!"""
HEN_HELENA_01,4,idle,text,,,main:5,"""친구와의 약속이 있어 헬레나 교관님의 퀘스트를 수행하지 못할 것 같다!\n아쉽지만 헬레나 교관님의 퀘스트를 거절했다.\n\n헬레나 교관님은 괜찮다며 고개를 끄덕이셨다.\n친구와 놀고나니 힘이 나는 것 같다!\n주스탯이 5만큼 올랐다."""
HEN_STAN_01,1,idle,text,2,,,"마을을 산책하던 도중, 스탄 장로님과 마주쳤다!\n장로님에게 반갑게 인사를 건네자, 장로님이 부탁이 있다며 말을 걸어왔다!"
HEN_STAN_01,2,idle,choice,,STAN01_LETTER,,"내가 수락하자, 장로님이 기뻐하며 부탁을 전했다.\n자신의 친구에게 편지를 전해달라는 부탁이었다.\n\n편지의 장소를 살펴보니 지구방위본부였다!\n지금 가기에는 너무 위험한 장소같은데, 어떻게 할까?"
HEN_STAN_01,3,idle,text,,,attack:10,"위험해도 도전해보는거지!\n용기있게 장로님의 부탁을 수락하였다.\n\n용기있게 지구방위본부로 향했지만, 나를 막는 몬스터들이 너무 강력했다.\n어쩔 수 없이 편지를 전달하지 못하고 헤네시스로 돌아왔다.\n\n다음번에 힘을 길러 다시 도전할 것이다! 의지를 다시금 다졌다.\n공격력/마력이 10만큼 올랐다."
HEN_STAN_01,4,idle,text,,,main:20,"내가 가기에는 아직 힘들것 같다며, 장로님의 부탁을 거절했다.\n스탄 장로님은 이해한다며 고개를 끄덕였다.\n\n이대로 있을수는 없다! 나는 더 열심히 훈련을 하기 시작했다.\n주스탯이 20만큼 올랐다."
PER_MANJI_01,1,idle,text,2,,,"사냥을 하고 돌아오던 중, 삿갓을 쓴 수상한 사람이 나에게 접근해왔다.\n반사적으로 공격을 하였으나, 나의 공격을 막았다!"
PER_MANJI_01,2,idle,choice,,MANJI01_DUEL,,"내가 놀란 사이, 수상한 사람이 자신의 이름을 밝혔다.\n만지는 나와 대련하고 싶다고 한다.\n\n만지의 제안을 수락할까?"
PER_MANJI_01,3,attack,text,,,attack:10;item:Tenth_Anniversary_White_Hat,"다른 사람과의 대련은 항상 의미있지!\n나는 만지와 치열하게 대련했다.\n\n만지는 대련이 끝나고 내가 더 크게 성장할 수 있을 것 같다고 하였다!\n대련에 대한 선물이라며 나에게 화이트 세트와 화이트 무기를 주었다!\n\n좋은 장비로 더 크게 성장할 수 있을 것 같다!\n공격력/마력이 10만큼 올랐다."
PER_MANJI_01,4,idle,text,,,,"나는 아직 의심을 거두지 못하여 만지의 제안을 거절했다.\n만지는 아쉬워하며 떠나갔다. 아무 일도 일어나지 않았다."
ORB_STATUE_01,1,idle,text,2,,,"오르비스를 돌아보던 중 탑의 8층에서 여신의 조각상을 발견했다.\n탑 안에 홀로 있는 조각상은 무척 고고해 보였다."
ORB_STATUE_01,2,idle,choice,,STATUE01_PRAY,,"여신의 조각상을 향해 기도를 올렸다.\n내가 올린 기도는..."
ORB_STATUE_01,3,idle,text,,,attack%:2,"나는 아직 더 크게 성장하고 싶다!\n내가 빠르게 성장할 수 있도록 해주세요!\n\n기도를 올렸더니, 조각상이 빛나며 축복이 내려왔다.\n공격력/마력이 2% 올랐다."
ORB_STATUE_01,4,idle,text,,,attack%:5,"내가 강해져 모두를 지키고 싶다!\n나에게 모두를 지킬 수 있는 힘을 주세요!\n\n기도를 올렸더니, 조각상이 크게 빛나며 축복이 내려왔다.\n공격력/마력이 5% 올랐다."
LUD_KAHO_01,1,idle,text,2,,,"루디브리엄성의 공장장 카호씨와 마주쳤다!\n카호씨는 곤란한 일이 있는 듯했다."
LUD_KAHO_01,2,idle,text,3,,,"카호씨는 장난감 병정들을 고칠 부품이 부족한데, 자신이 많이 지쳐 있어\n모으고 있지 못하고 있다고 한다."
LUD_KAHO_01,3,idle,text,,,main:15,"나는 지친 카호씨를 대신해 부품들을 모아왔다!\n카호씨는 기뻐하며 나에게 자신의 음식을 나눠주었다!\n주스탯이 15 올랐다."
LKC_IPHIA_01,1,idle,choice,,IPHIA01_DOOR,,"사자왕의 성을 탐사하던 중, 문 너머로 나를 부르는 소리가 들렸다.\n문을 열어볼까?"
LKC_IPHIA_01,2,idle,roll,,IPHIA01_HELP,,"문을 열었더니 유령이 서있었다.\n나는 소스라치게 놀랐지만, 어쩐지 얼굴이 슬퍼보여 이유를 물었다.\n\n유령은 자신이 이 성의 왕비였던 이피아라고 밝혔다.\n자신의 남편인 반 레온에게 가고 싶은데, 몬스터가 많아 가지 못하고 있다고 한다.\n나는 그런 이피아를 도와주기로 결정했다!"
LKC_IPHIA_01,3,idle,text,,,main:5,"아무래도 내가 잘못 들은 것 같다!\n탐사하던 곳을 마저 돌아봐야겠다.\n\n탐사 중 마주치던 몬스터와 싸우다 보니, 좀 더 강해진 것 같다.\n주스탯이 5 올랐다."
ROOT_ALISIA_01,1,idle,text,2,,,"안개가 가득한 숲을 지나다가 깊은 구덩이에 빠졌다!\n탈출할 방법을 찾던 중, 한 소녀를 발견했다."
ROOT_ALISIA_01,2,idle,text,3,,,"그 소녀의 이름은 알리샤로, 이 구덩이에 오래 봉인되어있었다고 한다.\n자신이 해방될 수 있도록 도와주면 탈출을 도와주겠다고 한다!\n나는 알리샤를 도와줄 수 있는 방법을 찾아보기로 하였다."
ROOT_ALISIA_01,3,idle,choice,,ALISIA01_ESCAPE,,"방법을 찾아보던 중, 열쇠와 포털을 발견하였다!\n포털은 곧 닫힐듯이 일렁거렸다. 어떻게 할까?"
ROOT_ALISIA_01,4,idle,text,,,weapon:Fafnir,"다급히 포털을 이용하자, 밖으로 탈출했다!\n나는 나인하트에게 도움을 요청하여 알리샤를 구하러 구덩이로 돌아갔다.\n\n시그너스 기사단의 도움으로 알리샤를 해방했다!\n알리샤는 고맙다며 나에게 선물을 주었다.\n루타비스 세트와 루타비스 무기를 얻었다!"
ROOT_ALISIA_01,5,idle,roll,,ALISIA01_GUARDIAN,,"열쇠를 갖고 알리샤에게 돌아갔다!\n그 열쇠는 알리샤를 봉인한 봉인의 수호자에게로 향하는 열쇠라고 한다.\n나는 곧바로 열쇠를 들고 봉인의 수호자를 처치하러 갔다!"
TOT_KEEPER_01,1,idle,text,2,,,"시간의 신전을 관리하는 신전관리인이 나를 찾는다고 하여\n관리인님을 찾아갔다!"
TOT_KEEPER_01,2,idle,choice,,KEEPER01_PATH,,"관리인님께서 내가 시간의 신전 세 길 중, 어떤 길을 중요시하는지 궁금했다고 하신다.\n내가 가장 중요시하는 길은..."
TOT_KEEPER_01,3,idle,text,,,main:20,"내가 모험을 떠나는 것은 소중한 사람과의 경험 덕분이다.\n소중한 사람들과의 경험은 추억이 되고, 이 추억을 지키기 위해서는 난 나아가야 한다.\n\n신전관리인님께서는 내가 어떤 선택을 하든 존중한다고 하셨다.\n소중한 추억을 지키기 바라며 기도해주셨다.\n주스탯이 20 올랐다."
